,0,1,2,3,4,5,6,7,8,9
117,16/01/1999,05,07,09,12,37,86,90,87,00
118,20/01/1999,06,01,43,45,48,51,56,18,00
119,23/01/1999,07,36,45,46,47,74,75,69,00
120,27/01/1999,08,08,48,65,72,83,88,67,00
121,30/01/1999,09,14,20,40,58,68,84,88,00
122,03/02/1999,10,45,67,70,80,81,89,03,00
123,06/02/1999,11,09,10,26,30,44,54,62,00
124,10/02/1999,12,04,08,12,17,19,80,84,00
125,13/02/1999,13,12,20,23,34,67,87,46,00
126,17/02/1999,14,24,45,49,63,78,83,04,00
127,20/02/1999,15,04,26,59,63,69,74,86,00
128,24/02/1999,16,17,19,32,41,52,87,23,00
129,27/02/1999,17,06,07,42,55,75,88,67,00
130,03/03/1999,18,40,41,51,62,66,80,77,00
131,06/03/1999,19,27,41,44,50,68,73,21,00
132,10/03/1999,20,11,20,56,69,72,76,32,00
133,13/03/1999,21,06,18,20,34,72,90,17,00
134,17/03/1999,22,03,07,14,45,68,70,39,00
135,20/03/1999,23,43,71,80,84,88,89,73,00
136,24/03/1999,24,04,26,34,61,76,81,67,00
137,27/03/1999,25,07,18,27,80,81,83,87,00
138,31/03/1999,26,25,60,64,71,75,85,18,00
139,03/04/1999,27,33,41,47,48,60,80,17,00
140,07/04/1999,28,13,27,40,46,70,84,28,00
141,10/04/1999,29,04,11,14,17,25,32,61,00
142,14/04/1999,30,34,63,70,77,83,90,43,00
143,17/04/1999,31,04,06,25,32,73,83,64,00
144,21/04/1999,32,20,53,55,61,64,74,46,00
145,24/04/1999,33,20,22,33,44,50,74,60,00
146,28/04/1999,34,01,51,53,55,73,86,41,00
147,03/05/1999,35,08,49,50,65,66,69,75,00
148,05/05/1999,36,03,10,28,71,81,88,84,00
149,08/05/1999,37,11,14,15,30,68,81,82,00
150,12/05/1999,38,03,07,10,37,57,86,49,00
151,15/05/1999,39,07,33,54,72,73,90,24,00
152,19/05/1999,40,10,23,35,64,74,90,52,00
153,22/05/1999,41,03,28,38,43,73,75,01,00
154,26/05/1999,42,03,04,13,16,59,70,22,00
155,29/05/1999,43,10,34,44,49,62,79,47,00
156,02/06/1999,44,02,16,17,65,69,72,60,00
157,05/06/1999,45,09,36,52,76,77,90,54,00
158,09/06/1999,46,16,32,35,45,72,77,06,00
159,12/06/1999,47,32,35,57,74,79,84,70,00
160,16/06/1999,48,05,20,29,41,56,86,81,00
161,19/06/1999,49,13,23,31,58,67,68,22,00
162,23/06/1999,50,31,36,37,71,86,90,13,00
163,26/06/1999,51,08,19,23,37,65,77,48,00
164,30/06/1999,52,13,22,44,74,77,87,76,00
165,03/07/1999,53,03,06,07,53,65,90,14,00
